fips,county,state
48001,Anderson,TX
48003,Andrews,TX
48005,Angelina,TX
48007,Aransas,TX
48009,Archer,TX
48011,Armstrong,TX
48013,Atascosa,TX
48015,Austin,TX
48017,Bailey,TX
48019,Bandera,TX
48021,Bastrop,TX
48023,Baylor,TX
48025,Bee,TX
48027,Bell,TX
48029,Bexar,TX
48031,Blanco,TX
48033,Borden,TX
48035,Bosque,TX
48037,Bowie,TX
48039,Brazoria,TX
48041,Brazos,TX
48043,Brewster,TX
48045,Briscoe,TX
48047,Brooks,TX
48049,Brown,TX
48051,Burleson,TX
48053,Burnet,TX
48055,Caldwell,TX
48057,Calhoun,TX
48059,Callahan,TX
48061,Cameron,TX
48063,Camp,TX
48065,Carson,TX
48067,Cass,TX
48069,Castro,TX
48071,Chambers,TX
48073,Cherokee,TX
48075,Childress,TX
48077,Clay,TX
48079,Cochran,TX
48081,Coke,TX
48083,Coleman,TX
48085,Collin,TX
48087,Collingsworth,TX
48089,Colorado,TX
48091,Comal,TX
48093,Comanche,TX
48095,Concho,TX
48097,Cooke,TX
48099,Coryell,TX
48101,Cottle,TX
48103,Crane,TX
48105,Crockett,TX
48107,Crosby,TX
48109,Culberson,TX
48111,Dallam,TX
48113,Dallas,TX
48115,Dawson,TX
48117,Deaf Smith,TX
48119,Delta,TX
48121,Denton,TX
48123,De Witt,TX
48125,Dickens,TX
48127,Dimmit,TX
48129,Donley,TX
48131,Duval,TX
48133,Eastland,TX
48135,Ector,TX
48137,Edwards,TX
48139,Ellis,TX
48141,El Paso,TX
48143,Erath,TX
48145,Falls,TX
48147,Fannin,TX
48149,Fayette,TX
48151,Fisher,TX
48153,Floyd,TX
48155,Foard,TX
48157,Fort Bend,TX
48159,Franklin,TX
48161,Freestone,TX
48163,Frio,TX
48165,Gaines,TX
48167,Galveston,TX
48169,Garza,TX
48171,Gillespie,TX
48173,Glasscock,TX
48175,Goliad,TX
48177,Gonzales,TX
48179,Gray,TX
48181,Grayson,TX
48183,Gregg,TX
48185,Grimes,TX
48187,Guadalupe,TX
48189,Hale,TX
48191,Hall,TX
48193,Hamilton,TX
48195,Hansford,TX
48197,Hardeman,TX
48199,Hardin,TX
48201,Harris,TX
48203,Harrison,TX
48205,Hartley,TX
48207,Haskell,TX
48209,Hays,TX
48211,Hemphill,TX
48213,Henderson,TX
48215,Hidalgo,TX
48217,Hill,TX
48219,Hockley,TX
48221,Hood,TX
48223,Hopkins,TX
48225,Houston,TX
48227,Howard,TX
48229,Hudspeth,TX
48231,Hunt,TX
48233,Hutchinson,TX
48235,Irion,TX
48237,Jack,TX
48239,Jackson,TX
48241,Jasper,TX
48243,Jeff Davis,TX
48245,Jefferson,TX
48247,Jim Hogg,TX
48249,Jim Wells,TX
48251,Johnson,TX
48253,Jones,TX
48255,Karnes,TX
48257,Kaufman,TX
48259,Kendall,TX
48261,Kenedy,TX
48263,Kent,TX
48265,Kerr,TX
48267,Kimble,TX
48269,King,TX
48271,Kinney,TX
48273,Kleberg,TX
48275,Knox,TX
48277,Lamar,TX
48279,Lamb,TX
48281,Lampasas,TX
48283,La Salle,TX
48285,Lavaca,TX
48287,Lee,TX
48289,Leon,TX
48291,Liberty,TX
48293,Limestone,TX
48295,Lipscomb,TX
48297,Live Oak,TX
48299,Llano,TX
48301,Loving,TX
48303,Lubbock,TX
48305,Lynn,TX
48307,McCulloch,TX
48309,McLennan,TX
48311,McMullen,TX
48313,Madison,TX
48315,Marion,TX
48317,Martin,TX
48319,Mason,TX
48321,Matagorda,TX
48323,Maverick,TX
48325,Medina,TX
48327,Menard,TX
48329,Midland,TX
48331,Milam,TX
48333,Mills,TX
48335,Mitchell,TX
48337,Montague,TX
48339,Montgomery,TX
48341,Moore,TX
48343,Morris,TX
48345,Motley,TX
48347,Nacogdoches,TX
48349,Navarro,TX
48351,Newton,TX
48353,Nolan,TX
48355,Nueces,TX
48357,Ochiltree,TX
48359,Oldham,TX
48361,Orange,TX
48363,Palo Pinto,TX
48365,Panola,TX
48367,Parker,TX
48369,Parmer,TX
48371,Pecos,TX
48373,Polk,TX
48375,Potter,TX
48377,Presidio,TX
48379,Rains,TX
48381,Randall,TX
48383,Reagan,TX
48385,Real,TX
48387,Red River,TX
48389,Reeves,TX
48391,Refugio,TX
48393,Roberts,TX
48395,Robertson,TX
48397,Rockwall,TX
48399,Runnels,TX
48401,Rusk,TX
48403,Sabine,TX
48405,San Augustine,TX
48407,San Jacinto,TX
48409,San Patricio,TX
48411,San Saba,TX
48413,Schleicher,TX
48415,Scurry,TX
48417,Shackelford,TX
48419,Shelby,TX
48421,Sherman,TX
48423,Smith,TX
48425,Somervell,TX
48427,Starr,TX
48429,Stephens,TX
48431,Sterling,TX
48433,Stonewall,TX
48435,Sutton,TX
48437,Swisher,TX
48439,Tarrant,TX
48441,Taylor,TX
48443,Terrell,TX
48445,Terry,TX
48447,Throckmorton,TX
48449,Titus,TX
48451,Tom Green,TX
48453,Travis,TX
48455,Trinity,TX
48457,Tyler,TX
48459,Upshur,TX
48461,Upton,TX
48463,Uvalde,TX
48465,Val Verde,TX
48467,Van Zandt,TX
48469,Victoria,TX
48471,Walker,TX
48473,Waller,TX
48475,Ward,TX
48477,Washington,TX
48479,Webb,TX
48481,Wharton,TX
48483,Wheeler,TX
48485,Wichita,TX
48487,Wilbarger,TX
48489,Willacy,TX
48491,Williamson,TX
48493,Wilson,TX
48495,Winkler,TX
48497,Wise,TX
48499,Wood,TX
48501,Yoakum,TX
48503,Young,TX
48505,Zapata,TX
48507,Zavala,TX